s6-rc: info: service s6rc-oneshot-runner: starting
s6-rc: info: service s6rc-oneshot-runner successfully started
s6-rc: info: service fix-attrs: starting
s6-rc: info: service fix-attrs successfully started
s6-rc: info: service legacy-cont-init: starting
s6-rc: info: service legacy-cont-init successfully started
s6-rc: info: service legacy-services: starting
services-up: info: copying legacy longrun home-assistant (no readiness notification)
s6-rc: info: service legacy-services successfully started
2026-07-04 20:12:34.384 WARNING (SyncWorker_0) [annotatedyaml.constructors] YAML file /config/automations.yaml contains duplicate key "transicion_hvac_real". Check lines 3540 and 3681
2026-07-04 20:12:48.094 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_DIAG initial_update mac_addr=02000047439D appliance_type=ErdApplianceType.COMBINATION_WASHER_DRYER available=True initialized=True known_properties_status=ok known_properties_count=72 property_cache_status=ok property_cache_count=72 known_laundry_erds=['ErdCode.LAUNDRY_COMBO_DOOR_STATUS', 'ErdCode.LAUNDRY_COMBO_DRYER_TIME_REMAINING', 'ErdCode.LAUNDRY_COMBO_WASHER_TIME_REMAINING', 'ErdCode.LAUNDRY_CYCLE', 'ErdCode.LAUNDRY_DELAY_TIME_REMAINING', 'ErdCode.LAUNDRY_DRYER_EXTENDED_TUMBLE_OPTION_REQUEST', 'ErdCode.LAUNDRY_DRYER_EXTENDED_TUMBLE_OPTION_SELECTION', 'ErdCode.LAUNDRY_MACHINE_STATE', 'ErdCode.LAUNDRY_REMOTE_DELAY_CONTROL', 'ErdCode.LAUNDRY_REMOTE_POWER_CONTROL', 'ErdCode.LAUNDRY_REMOTE_STATUS', 'ErdCode.LAUNDRY_SUB_CYCLE', 'ErdCode.LAUNDRY_TIME_REMAINING', 'ErdCode.LAUNDRY_WASHER_BULK_TANK_SIZE', 'ErdCode.LAUNDRY_WASHER_DOWNLOADED_CYCLE_ALLOWABLES', 'ErdCode.LAUNDRY_WASHER_DOWNLOADED_CYCLE_REQUEST', 'ErdCode.LAUNDRY_WASHER_DOWNLOAD_CYCLE_FEATURE_VERSION', 'ErdCode.LAUNDRY_WASHER_PREWASH', 'ErdCode.LAUNDRY_WASHER_SMART_DETERGENT_DISPENSE_TIME', 'ErdCode.LAUNDRY_WASHER_SMART_DISPENSE'] property_cache_laundry_erds=['ErdCode.LAUNDRY_COMBO_DOOR_STATUS', 'ErdCode.LAUNDRY_COMBO_DRYER_TIME_REMAINING', 'ErdCode.LAUNDRY_COMBO_WASHER_TIME_REMAINING', 'ErdCode.LAUNDRY_CYCLE', 'ErdCode.LAUNDRY_DELAY_TIME_REMAINING', 'ErdCode.LAUNDRY_DRYER_EXTENDED_TUMBLE_OPTION_REQUEST', 'ErdCode.LAUNDRY_DRYER_EXTENDED_TUMBLE_OPTION_SELECTION', 'ErdCode.LAUNDRY_MACHINE_STATE', 'ErdCode.LAUNDRY_REMOTE_DELAY_CONTROL', 'ErdCode.LAUNDRY_REMOTE_POWER_CONTROL', 'ErdCode.LAUNDRY_REMOTE_STATUS', 'ErdCode.LAUNDRY_SUB_CYCLE', 'ErdCode.LAUNDRY_TIME_REMAINING', 'ErdCode.LAUNDRY_WASHER_BULK_TANK_SIZE', 'ErdCode.LAUNDRY_WASHER_DOWNLOADED_CYCLE_ALLOWABLES', 'ErdCode.LAUNDRY_WASHER_DOWNLOADED_CYCLE_REQUEST', 'ErdCode.LAUNDRY_WASHER_DOWNLOAD_CYCLE_FEATURE_VERSION', 'ErdCode.LAUNDRY_WASHER_PREWASH', 'ErdCode.LAUNDRY_WASHER_SMART_DETERGENT_DISPENSE_TIME', 'ErdCode.LAUNDRY_WASHER_SMART_DISPENSE']
2026-07-04 20:13:18.300 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_DIAG update mac_addr=02000047439D appliance_type=ErdApplianceType.COMBINATION_WASHER_DRYER available=True initialized=True existing_api=True api_class=WasherDryerApi entity_count=13
2026-07-04 20:13:18.300 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG update_seen unique_id=ge_home_AZ312796N_laundry_machine_state entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_MACHINE_STATE
2026-07-04 20:13:18.300 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG skipped_not_added unique_id=ge_home_AZ312796N_laundry_machine_state entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_MACHINE_STATE
2026-07-04 20:13:18.300 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG update_seen unique_id=ge_home_AZ312796N_laundry_cycle entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_CYCLE
2026-07-04 20:13:18.300 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG skipped_not_added unique_id=ge_home_AZ312796N_laundry_cycle entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_CYCLE
2026-07-04 20:13:18.301 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG update_seen unique_id=ge_home_AZ312796N_laundry_sub_cycle entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_SUB_CYCLE
2026-07-04 20:13:18.301 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG skipped_not_added unique_id=ge_home_AZ312796N_laundry_sub_cycle entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_SUB_CYCLE
2026-07-04 20:13:18.301 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG update_seen unique_id=ge_home_AZ312796N_laundry_time_remaining entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_TIME_REMAINING
2026-07-04 20:13:18.301 WARNING (MainThread) [custom_components.ge_home.update_coordinator] GE_HOME_LAUNDRY_STATE_DIAG skipped_not_added unique_id=ge_home_AZ312796N_laundry_time_remaining entity_id=None class=GeErdSensor enabled=True added=False available=True erd_code=LAUNDRY_TIME_REMAINING
